message_id,period
49,10
81,10
257,10
258,100
259,100
260,100
261,20
264,10
266,10
273,10
280,10
281,20
282,20
285,20
297,10
299,100
325,20
328,20
341,20
356,10
357,100
358,1000
359,10
373,10
389,20
390,10
392,10
477,100
485,10
518,20
529,100
543,100
544,50
545,50
546,100
547,100
548,100
575,100
576,20
597,100
599,20
600,100
605,500
611,100
615,1000
630,100
637,100
646,100
665,20
680,100
697,40
700,1000
702,1000
744,100
778,50
785,100
790,100
792,100
793,100
794,50
811,500
817,1000
831,100
880,10
901,200
905,500
907,20
908,10
909,10
910,10
911,20
912,100
914,1000
923,500
925,40
930,50
931,100
932,100
933,100
934,100
977,1000
993,100
1013,100
1057,1000
1073,100
1075,100
1160,20
1249,100
1252,100
1265,1000
1270,100
1286,1000
1366,1000
1379,50
1426,0
1496,1000
1497,1000
1823,1000
1861,100
1869,1000